time,event
2026-03-02T11:54:57.786221,controller init poll_ms=5000 ip=192.168.50.20 port=502 profile(timeout_ms=1800 retries_total=2 backoff=250 degraded_after=2 degraded_reconnect_ms=20000 offline_after_failed=3 stale_after_no_success_ms=12000 offline_after_no_success_ms=30000)
2026-03-02T11:54:57.807965,poll timer set period_ms=5000
440 count=14 attempt=1/1
2026-03-02T11:54:58.337748,send op=points@0 start=0 count=72 attempt=1/2
ration_ms=524
2026-03-02T11:55:00.156174,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:00.414694,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:01.881163,candidate selected op=points start=0
 duration_ms=1465
2026-03-02T11:55:01.926385,poll ok #1 duration_ms=4117 degraded=0 timeout_streak=0
2026-03-02T11:55:02.824443,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:04.632299,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:55:04.897288,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:05.878816,poll ok #2 duration_ms=3054 degraded=0 timeout_streak=0
2026-03-02T11:55:07.821799,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:09.697939,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
2026-03-02T11:55:09.697939,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:10.003704,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:10.888992,poll ok #3 duration_ms=3067 degraded=0 timeout_streak=0
2026-03-02T11:55:12.812295,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:14.614084,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:14.865755,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:15.890012,candidate selected op=points start=0
 duration_ms=1024
2026-03-02T11:55:15.892011,poll ok #4 duration_ms=3079 degraded=0 timeout_streak=0
2026-03-02T11:55:17.809692,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:19.613054,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:19.865180,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:20.893488,poll ok #5 duration_ms=3083 degraded=0 timeout_streak=0
2026-03-02T11:55:22.811331,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:24.614323,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:24.866001,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:25.899693,recv ok op=points@0 regs=72 attempt=2 duration_ms=1033
2026-03-02T11:55:25.903238,poll ok #6 duration_ms=3092 degraded=0 timeout_streak=0
2026-03-02T11:55:27.809790,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:29.611422,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:29.863990,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:30.895473,poll ok #7 duration_ms=3085 degraded=0 timeout_streak=0
2026-03-02T11:55:32.811248,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:34.614670,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:34.866140,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:35.908257,candidate selected op=points start=0
 duration_ms=1042
2026-03-02T11:55:35.911803,poll ok #8 duration_ms=3100 degraded=0 timeout_streak=0
2026-03-02T11:55:37.810523,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:39.612502,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:39.864220,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:40.907753,poll ok #9 duration_ms=3097 degraded=0 timeout_streak=0
2026-03-02T11:55:42.811232,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:43.847784,poll ok #10 duration_ms=1037 degraded=0 timeout_streak=0
2026-03-02T11:55:47.811173,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:48.324873,recv ok op=points@0 regs=72 attempt=1 duration_ms=513
2026-03-02T11:55:48.327016,poll ok #11 duration_ms=515 degraded=0 timeout_streak=0
2026-03-02T11:55:52.811044,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:54.614694,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:54.868469,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:55:56.399695,poll ok #12 duration_ms=3589 degraded=0 timeout_streak=0
2026-03-02T11:55:57.809759,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:55:59.613383,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:55:59.864562,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:01.424034,candidate selected op=points start=0
 duration_ms=1559
2026-03-02T11:56:01.426662,poll ok #13 duration_ms=3616 degraded=0 timeout_streak=0
2026-03-02T11:56:02.810984,poll start #14
2026-03-02T11:56:02.812005,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:04.614498,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:04.865983,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:06.424930,poll ok #14 duration_ms=3613 degraded=0 timeout_streak=0
2026-03-02T11:56:07.810724,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:09.613402,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:09.864707,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:11.429617,recv ok op=points@0 regs=72 attempt=2 duration_ms=1564
2026-03-02T11:56:11.429617,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T11:56:12.811425,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:14.614137,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
