time,zone,sensor_idx,sensor_value,online,stale
2026-02-19T14:53:53.386290,1,0,0.00,0,1
2026-02-19T14:53:53.386290,1,1,0.00,0,1
2026-02-19T14:53:53.386290,1,2,0.00,0,1
2026-02-19T14:53:53.386290,1,3,0.00,0,1
2026-02-19T14:53:53.386290,1,4,0.00,0,1
2026-02-19T14:53:53.386290,1,5,0.00,0,1
2026-02-19T14:53:53.386290,1,6,0.00,0,1
2026-02-19T14:53:53.386290,1,7,0.00,0,1
2026-02-19T14:53:53.386290,1,8,0.00,0,1
2026-02-19T14:53:53.389941,2,0,0.00,0,1
2026-02-19T14:53:53.389941,2,1,0.00,0,1
2026-02-19T14:53:53.389941,2,2,0.00,0,1
2026-02-19T14:53:53.389941,2,3,0.00,0,1
2026-02-19T14:53:53.389941,2,4,0.00,0,1
2026-02-19T14:53:53.389941,2,5,0.00,0,1
2026-02-19T14:53:53.389941,2,6,0.00,0,1
2026-02-19T14:53:53.389941,2,7,0.00,0,1
2026-02-19T14:53:53.389941,2,8,0.00,0,1
2026-02-19T14:53:53.417738,3,0,0.00,0,1
2026-02-19T14:53:53.417738,3,1,0.00,0,1
2026-02-19T14:53:53.417738,3,2,0.00,0,1
2026-02-19T14:53:53.417738,3,3,0.00,0,1
2026-02-19T14:53:53.417738,3,4,0.00,0,1
2026-02-19T14:53:53.417738,3,5,0.00,0,1
2026-02-19T14:53:53.417738,3,6,0.00,0,1
2026-02-19T14:53:53.417738,3,7,0.00,0,1
2026-02-19T14:53:53.417738,3,8,0.00,0,1
2026-02-19T14:53:53.426994,4,0,0.00,0,1
2026-02-19T14:53:53.426994,4,1,0.00,0,1
2026-02-19T14:53:53.426994,4,2,0.00,0,1
2026-02-19T14:53:53.426994,4,3,0.00,0,1
2026-02-19T14:53:53.426994,4,4,0.00,0,1
2026-02-19T14:53:53.426994,4,5,0.00,0,1
2026-02-19T14:53:53.426994,4,6,0.00,0,1
2026-02-19T14:53:53.426994,4,7,0.00,0,1
2026-02-19T14:53:53.426994,4,8,0.00,0,1
2026-02-19T14:53:53.436254,5,0,0.00,0,1
2026-02-19T14:53:53.436254,5,1,0.00,0,1
2026-02-19T14:53:53.436254,5,2,0.00,0,1
2026-02-19T14:53:53.436254,5,3,0.00,0,1
2026-02-19T14:53:53.436254,5,4,0.00,0,1
2026-02-19T14:53:53.436254,5,5,0.00,0,1
2026-02-19T14:53:53.436254,5,6,0.00,0,1
2026-02-19T14:53:53.436254,5,7,0.00,0,1
2026-02-19T14:53:53.436254,5,8,0.00,0,1
2026-02-19T14:53:53.445089,6,0,0.00,0,1
2026-02-19T14:53:53.445089,6,1,0.00,0,1
2026-02-19T14:53:53.445089,6,2,0.00,0,1
2026-02-19T14:53:53.445089,6,3,0.00,0,1
2026-02-19T14:53:53.445089,6,4,0.00,0,1
2026-02-19T14:53:53.445089,6,5,0.00,0,1
2026-02-19T14:53:53.445089,6,6,0.00,0,1
2026-02-19T14:53:53.445089,6,7,0.00,0,1
2026-02-19T14:53:53.445089,6,8,0.00,0,1
2026-02-19T14:53:53.455032,7,0,0.00,0,1
2026-02-19T14:53:53.455032,7,1,0.00,0,1
2026-02-19T14:53:53.455032,7,2,0.00,0,1
2026-02-19T14:53:53.455032,7,3,0.00,0,1
2026-02-19T14:53:53.455032,7,4,0.00,0,1
2026-02-19T14:53:53.455032,7,5,0.00,0,1
2026-02-19T14:53:53.455032,7,6,0.00,0,1
2026-02-19T14:53:53.455032,7,7,0.00,0,1
2026-02-19T14:53:53.455032,7,8,0.00,0,1
2026-02-19T14:53:53.465982,8,0,0.00,0,1
2026-02-19T14:53:53.465982,8,1,0.00,0,1
2026-02-19T14:53:53.465982,8,2,0.00,0,1
2026-02-19T14:53:53.465982,8,3,0.00,0,1
2026-02-19T14:53:53.465982,8,4,0.00,0,1
2026-02-19T14:53:53.465982,8,5,0.00,0,1
2026-02-19T14:53:53.465982,8,6,0.00,0,1
2026-02-19T14:53:53.465982,8,7,0.00,0,1
2026-02-19T14:53:53.465982,8,8,0.00,0,1
2026-02-19T14:53:53.474968,9,0,0.00,0,1
2026-02-19T14:53:53.474968,9,1,0.00,0,1
2026-02-19T14:53:53.474968,9,2,0.00,0,1
2026-02-19T14:53:53.474968,9,3,0.00,0,1
2026-02-19T14:53:53.474968,9,4,0.00,0,1
2026-02-19T14:53:53.474968,9,5,0.00,0,1
2026-02-19T14:53:53.474968,9,6,0.00,0,1
2026-02-19T14:53:53.474968,9,7,0.00,0,1
2026-02-19T14:53:53.474968,9,8,0.00,0,1
2026-02-19T14:53:53.483376,10,0,0.00,0,1
2026-02-19T14:53:53.483376,10,1,0.00,0,1
2026-02-19T14:53:53.483376,10,2,0.00,0,1
2026-02-19T14:53:53.483376,10,3,0.00,0,1
2026-02-19T14:53:53.483376,10,4,0.00,0,1
2026-02-19T14:53:53.483376,10,5,0.00,0,1
2026-02-19T14:53:53.483376,10,6,0.00,0,1
2026-02-19T14:53:53.483376,10,7,0.00,0,1
2026-02-19T14:53:53.483376,10,8,0.00,0,1
2026-02-19T14:53:53.491523,11,0,0.00,0,1
2026-02-19T14:53:53.491523,11,1,0.00,0,1
2026-02-19T14:53:53.491523,11,2,0.00,0,1
2026-02-19T14:53:53.491523,11,3,0.00,0,1
2026-02-19T14:53:53.491523,11,4,0.00,0,1
2026-02-19T14:53:53.491523,11,5,0.00,0,1
2026-02-19T14:53:53.491523,11,6,0.00,0,1
2026-02-19T14:53:53.491523,11,7,0.00,0,1
2026-02-19T14:53:53.491523,11,8,0.00,0,1
2026-02-19T14:53:53.500364,12,0,0.00,0,1
2026-02-19T14:53:53.500364,12,1,0.00,0,1
2026-02-19T14:53:53.500364,12,2,0.00,0,1
2026-02-19T14:53:53.500364,12,3,0.00,0,1
2026-02-19T14:53:53.500364,12,4,0.00,0,1
2026-02-19T14:53:53.500364,12,5,0.00,0,1
2026-02-19T14:53:53.500364,12,6,0.00,0,1
2026-02-19T14:53:53.500364,12,7,0.00,0,1
2026-02-19T14:53:53.500364,12,8,0.00,0,1
2026-02-19T14:53:53.510134,13,0,0.00,0,1
2026-02-19T14:53:53.510134,13,1,0.00,0,1
2026-02-19T14:53:53.510134,13,2,0.00,0,1
2026-02-19T14:53:53.510134,13,3,0.00,0,1
2026-02-19T14:53:53.510134,13,4,0.00,0,1
2026-02-19T14:53:53.510134,13,5,0.00,0,1
2026-02-19T14:53:53.510134,13,6,0.00,0,1
2026-02-19T14:53:53.510134,13,7,0.00,0,1
2026-02-19T14:53:53.510134,13,8,0.00,0,1
2026-02-19T14:53:53.520793,14,0,0.00,0,1
2026-02-19T14:53:53.520793,14,1,0.00,0,1
2026-02-19T14:53:53.520793,14,2,0.00,0,1
2026-02-19T14:53:53.520793,14,3,0.00,0,1
2026-02-19T14:53:53.520793,14,4,0.00,0,1
2026-02-19T14:53:53.520793,14,5,0.00,0,1
2026-02-19T14:53:53.520793,14,6,0.00,0,1
2026-02-19T14:53:53.520793,14,7,0.00,0,1
2026-02-19T14:53:53.520793,14,8,0.00,0,1
2026-02-19T14:53:53.531801,15,0,0.00,0,1
2026-02-19T14:53:53.531801,15,1,0.00,0,1
2026-02-19T14:53:53.531801,15,2,0.00,0,1
2026-02-19T14:53:53.531801,15,3,0.00,0,1
2026-02-19T14:53:53.531801,15,4,0.00,0,1
2026-02-19T14:53:53.531801,15,5,0.00,0,1
2026-02-19T14:53:53.531801,15,6,0.00,0,1
2026-02-19T14:53:53.531801,15,7,0.00,0,1
2026-02-19T14:53:53.531801,15,8,0.00,0,1
2026-02-19T14:53:53.541998,16,0,0.00,0,1
2026-02-19T14:53:53.541998,16,1,0.00,0,1
2026-02-19T14:53:53.541998,16,2,0.00,0,1
2026-02-19T14:53:53.541998,16,3,0.00,0,1
2026-02-19T14:53:53.541998,16,4,0.00,0,1
2026-02-19T14:53:53.541998,16,5,0.00,0,1
2026-02-19T14:53:53.541998,16,6,0.00,0,1
2026-02-19T14:53:53.541998,16,7,0.00,0,1
2026-02-19T14:53:53.541998,16,8,0.00,0,1
2026-02-19T14:53:53.550722,17,0,0.00,0,1
2026-02-19T14:53:53.550722,17,1,0.00,0,1
2026-02-19T14:53:53.550722,17,2,0.00,0,1
2026-02-19T14:53:53.550722,17,3,0.00,0,1
2026-02-19T14:53:53.550722,17,4,0.00,0,1
2026-02-19T14:53:53.550722,17,5,0.00,0,1
2026-02-19T14:53:53.550722,17,6,0.00,0,1
2026-02-19T14:53:53.550722,17,7,0.00,0,1
2026-02-19T14:53:53.550722,17,8,0.00,0,1
2026-02-19T14:53:53.559307,18,0,0.00,0,1
2026-02-19T14:53:53.559307,18,1,0.00,0,1
2026-02-19T14:53:53.559307,18,2,0.00,0,1
2026-02-19T14:53:53.559307,18,3,0.00,0,1
2026-02-19T14:53:53.559307,18,4,0.00,0,1
2026-02-19T14:53:53.559307,18,5,0.00,0,1
2026-02-19T14:53:53.559307,18,6,0.00,0,1
2026-02-19T14:53:53.559307,18,7,0.00,0,1
2026-02-19T14:53:53.559307,18,8,0.00,0,1
2026-02-19T14:53:53.568848,19,0,0.00,0,1
2026-02-19T14:53:53.568848,19,1,0.00,0,1
2026-02-19T14:53:53.568848,19,2,0.00,0,1
2026-02-19T14:53:53.568848,19,3,0.00,0,1
2026-02-19T14:53:53.568848,19,4,0.00,0,1
2026-02-19T14:53:53.568848,19,5,0.00,0,1
2026-02-19T14:53:53.568848,19,6,0.00,0,1
2026-02-19T14:53:53.568848,19,7,0.00,0,1
2026-02-19T14:53:53.568848,19,8,0.00,0,1
2026-02-19T14:53:53.577586,20,0,0.00,0,1
2026-02-19T14:53:53.577586,20,1,0.00,0,1
2026-02-19T14:53:53.577586,20,2,0.00,0,1
2026-02-19T14:53:53.577586,20,3,0.00,0,1
2026-02-19T14:53:53.577586,20,4,0.00,0,1
2026-02-19T14:53:53.577586,20,5,0.00,0,1
2026-02-19T14:53:53.577586,20,6,0.00,0,1
2026-02-19T14:53:53.577586,20,7,0.00,0,1
2026-02-19T14:53:53.577586,20,8,0.00,0,1
2026-02-19T15:20:53.578278,1,0,0.00,0,1
2026-02-19T15:20:53.578278,1,1,0.00,0,1
2026-02-19T15:20:53.578278,1,2,0.00,0,1
2026-02-19T15:20:53.578278,1,3,0.00,0,1
2026-02-19T15:20:53.578278,1,4,0.00,0,1
2026-02-19T15:20:53.578278,1,5,0.00,0,1
2026-02-19T15:20:53.578278,1,6,0.00,0,1
2026-02-19T15:20:53.578278,1,7,0.00,0,1
2026-02-19T15:20:53.578278,1,8,0.00,0,1
2026-02-19T15:20:53.623804,2,0,0.00,0,1
2026-02-19T15:20:53.623804,2,1,0.00,0,1
2026-02-19T15:20:53.623804,2,2,0.00,0,1
